"Ano";"Localidade";"População - Projeção - Total (habitantes)";"Produto Interno Bruto per Capita (R$)"
"2011";"Aragoiânia";"8.748";"7.548,81"
"2011";"Goiânia";"1.355.012";"25.172,92"
"2012";"Aragoiânia";"8.924";"7.961,66"
"2012";"Goiânia";"1.372.110";"28.090,09"
"2013";"Aragoiânia";"9.097";"8.727,33"
"2013";"Goiânia";"1.393.704";"28.834,22"
"2014";"Aragoiânia";"9.266";"10.007,75"
"2014";"Goiânia";"1.412.495";"32.718,00"
"2015";"Aragoiânia";"9.432";"10.455,05"
"2015";"Goiânia";"1.430.927";"32.593,34"
"2016";"Aragoiânia";"9.594";"10.318,54"
"2016";"Goiânia";"1.448.876";"32.209,01"
"2017";"Aragoiânia";"9.751";" 10.799 "
"2017";"Goiânia";"1.466.352";" 33.438 "
"2018";"Aragoiânia";"9.905";"10.709"
"2018";"Goiânia";"1.483.480";"33.004"
"2019";"Aragoiânia";"10.057";"12.736"
"2019";"Goiânia";"1.500.250";"34.901"
"2020";"Aragoiânia";"10.204";"14120"
"2020";"Goiânia";"1.516.662";"33827"
